epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,6702.58,0.42078,0.79034,0.99326,0.91592,0.91926,0.95073,0.89749,0.33353,0.37278,0.93515,0.006634,0.006634,0.006634
70,6797.88,0.4225,0.78218,0.99328,0.92535,0.91588,0.95111,0.89832,0.33151,0.36728,0.93378,0.0065845,0.0065845,0.0065845
71,6893.58,0.41963,0.77962,0.99573,0.92016,0.91869,0.95188,0.89911,0.33243,0.36645,0.93444,0.006535,0.006535,0.006535
72,6989.69,0.42251,0.7832,0.99724,0.91979,0.91866,0.95287,0.90025,0.33273,0.36352,0.93407,0.0064855,0.0064855,0.0064855
73,7084.66,0.41609,0.76498,0.9909,0.91915,0.91875,0.95204,0.90038,0.33136,0.36473,0.93264,0.006436,0.006436,0.006436
74,7179.72,0.41533,0.76126,0.99051,0.9276,0.90852,0.95085,0.89903,0.32983,0.3671,0.93134,0.0063865,0.0063865,0.0063865
75,7277.08,0.41174,0.75787,0.99154,0.92098,0.91204,0.95076,0.89791,0.33217,0.37047,0.9338,0.006337,0.006337,0.006337
76,7372.86,0.41321,0.75302,0.98856,0.92173,0.91705,0.952,0.89944,0.3312,0.36876,0.93302,0.0062875,0.0062875,0.0062875
77,7467.85,0.41359,0.76057,0.98963,0.92369,0.9197,0.95314,0.90144,0.33027,0.36359,0.93272,0.006238,0.006238,0.006238
78,7564.76,0.41126,0.74804,0.98708,0.9211,0.91894,0.95365,0.90201,0.33006,0.36213,0.9326,0.0061885,0.0061885,0.0061885
79,7659.45,0.41564,0.75095,0.99293,0.92174,0.9208,0.95475,0.90204,0.33114,0.35683,0.93313,0.006139,0.006139,0.006139
80,7754.34,0.41153,0.74161,0.98832,0.92234,0.9233,0.95439,0.90214,0.3318,0.35418,0.93327,0.0060895,0.0060895,0.0060895
81,7851.06,0.41232,0.74193,0.9895,0.92723,0.91876,0.95404,0.90238,0.33161,0.35278,0.93301,0.00604,0.00604,0.00604
82,7946.33,0.41117,0.73809,0.98971,0.92896,0.91617,0.95397,0.90266,0.33084,0.35361,0.93233,0.0059905,0.0059905,0.0059905
83,8041.63,0.40915,0.72698,0.98848,0.9232,0.92389,0.95476,0.90299,0.33199,0.35197,0.93325,0.005941,0.005941,0.005941
84,8138.38,0.41173,0.73729,0.99064,0.92508,0.92239,0.9544,0.90224,0.33066,0.3509,0.93206,0.0058915,0.0058915,0.0058915
85,8234.4,0.41122,0.72671,0.9896,0.92699,0.9213,0.9546,0.90224,0.33009,0.34953,0.93148,0.005842,0.005842,0.005842
86,8330.72,0.40669,0.73116,0.99056,0.92231,0.92568,0.95417,0.90147,0.33025,0.34966,0.93169,0.0057925,0.0057925,0.0057925
87,8428.79,0.4057,0.72002,0.98675,0.93234,0.92,0.95434,0.90278,0.32981,0.34686,0.93193,0.005743,0.005743,0.005743
88,8523.84,0.41072,0.71514,0.98747,0.93124,0.921,0.95447,0.90298,0.32961,0.34688,0.93161,0.0056935,0.0056935,0.0056935
89,8619.76,0.40545,0.7134,0.98727,0.92497,0.92665,0.95461,0.90292,0.32841,0.34605,0.93096,0.005644,0.005644,0.005644
90,8716.35,0.40786,0.71209,0.98751,0.92675,0.92646,0.95453,0.90337,0.32783,0.34528,0.92968,0.0055945,0.0055945,0.0055945
91,8811.15,0.4042,0.70482,0.98384,0.92606,0.92456,0.9544,0.90257,0.32788,0.34641,0.92897,0.005545,0.005545,0.005545
92,8906.27,0.40383,0.7023,0.98385,0.93224,0.92099,0.95397,0.90259,0.32764,0.34742,0.92845,0.0054955,0.0054955,0.0054955
93,9003.45,0.40543,0.6876,0.98635,0.92669,0.92441,0.95363,0.90249,0.3274,0.34603,0.92872,0.005446,0.005446,0.005446
94,9098.07,0.40476,0.70289,0.98663,0.93068,0.92205,0.95363,0.90298,0.32761,0.34642,0.92889,0.0053965,0.0053965,0.0053965
95,9192.63,0.40212,0.69189,0.98047,0.92474,0.92569,0.95355,0.90289,0.32726,0.34586,0.92865,0.005347,0.005347,0.005347
96,9289.14,0.39933,0.68303,0.98343,0.92015,0.92834,0.95372,0.90333,0.32662,0.34636,0.92833,0.0052975,0.0052975,0.0052975
97,9384.51,0.3952,0.6764,0.97928,0.92849,0.92066,0.95381,0.90328,0.32689,0.34519,0.92811,0.005248,0.005248,0.005248
98,9479.04,0.399,0.69287,0.98453,0.92454,0.92598,0.95379,0.90299,0.3269,0.34441,0.92832,0.0051985,0.0051985,0.0051985
99,9577.12,0.39929,0.68309,0.98216,0.92584,0.9259,0.9537,0.90301,0.32697,0.34357,0.92881,0.005149,0.005149,0.005149
100,9671.96,0.39842,0.67948,0.98499,0.92852,0.92448,0.95391,0.90337,0.32688,0.34232,0.92874,0.0050995,0.0050995,0.0050995
101,9766.69,0.40015,0.67932,0.98454,0.9256,0.92723,0.95411,0.9039,0.32611,0.34309,0.92811,0.00505,0.00505,0.00505
102,9862.67,0.39718,0.66585,0.98161,0.92633,0.92599,0.95419,0.90406,0.32613,0.34248,0.92814,0.0050005,0.0050005,0.0050005
103,9957.21,0.39359,0.66891,0.9799,0.92316,0.92643,0.95412,0.90433,0.32609,0.34182,0.92846,0.004951,0.004951,0.004951
104,10052.2,0.39565,0.6583,0.97884,0.92428,0.92806,0.95424,0.90431,0.32599,0.34134,0.92832,0.0049015,0.0049015,0.0049015
105,10149.4,0.39464,0.65725,0.97998,0.92852,0.92484,0.95409,0.90377,0.32584,0.34023,0.92816,0.004852,0.004852,0.004852
106,10244.3,0.39431,0.65639,0.97996,0.92866,0.9255,0.95424,0.90346,0.32546,0.33986,0.92796,0.0048025,0.0048025,0.0048025
107,10339.1,0.39975,0.65529,0.98459,0.93153,0.92274,0.95434,0.90383,0.32517,0.33852,0.9274,0.004753,0.004753,0.004753
108,10435.6,0.39337,0.64884,0.97739,0.92916,0.92624,0.95451,0.90418,0.32463,0.33749,0.9269,0.0047035,0.0047035,0.0047035
109,10530.5,0.39374,0.65393,0.98004,0.93097,0.92403,0.95457,0.90424,0.32436,0.33731,0.92684,0.004654,0.004654,0.004654
110,10625,0.39005,0.65154,0.97832,0.93319,0.92343,0.95466,0.90429,0.32405,0.33679,0.92662,0.0046045,0.0046045,0.0046045
111,10721.4,0.39327,0.64326,0.97971,0.93435,0.92179,0.9548,0.90477,0.32375,0.33586,0.92642,0.004555,0.004555,0.004555
112,10816.9,0.39329,0.64274,0.97921,0.93203,0.92357,0.95485,0.90482,0.32361,0.33646,0.92608,0.0045055,0.0045055,0.0045055
113,10911.7,0.39175,0.63993,0.97696,0.93383,0.92224,0.9548,0.90481,0.32362,0.33633,0.9259,0.004456,0.004456,0.004456
114,11007.8,0.3856,0.63407,0.97769,0.93266,0.9231,0.95488,0.90479,0.32345,0.33629,0.92574,0.0044065,0.0044065,0.0044065
115,11102.3,0.39103,0.62423,0.97686,0.93425,0.92242,0.95492,0.90512,0.32324,0.33627,0.92562,0.004357,0.004357,0.004357
116,11197,0.38898,0.62569,0.97968,0.93286,0.92436,0.95498,0.90524,0.32317,0.33611,0.92549,0.0043075,0.0043075,0.0043075
117,11293.3,0.39008,0.63289,0.97957,0.93212,0.92543,0.95503,0.90511,0.32304,0.33564,0.92506,0.004258,0.004258,0.004258
118,11388.2,0.38736,0.63055,0.97678,0.93175,0.92544,0.95513,0.9054,0.32278,0.33528,0.92475,0.0042085,0.0042085,0.0042085
119,11482.8,0.38559,0.61808,0.97404,0.9313,0.92676,0.95498,0.90521,0.32258,0.33537,0.92455,0.004159,0.004159,0.004159
120,11579.1,0.38584,0.61781,0.97674,0.93058,0.92645,0.95496,0.9053,0.32251,0.33525,0.92443,0.0041095,0.0041095,0.0041095
121,11674.3,0.38667,0.62111,0.9734,0.93034,0.92753,0.9552,0.90577,0.32237,0.3341,0.9243,0.00406,0.00406,0.00406
122,11768.8,0.3845,0.60326,0.97433,0.93125,0.92755,0.95533,0.90595,0.32221,0.33388,0.92413,0.0040105,0.0040105,0.0040105
123,11864.9,0.38539,0.61126,0.97366,0.93356,0.92527,0.95543,0.90598,0.32223,0.3336,0.9241,0.003961,0.003961,0.003961
124,11961.1,0.38191,0.60603,0.97457,0.93195,0.92588,0.95509,0.90553,0.32215,0.33351,0.92402,0.0039115,0.0039115,0.0039115
125,12055.7,0.38017,0.59931,0.97337,0.9317,0.92796,0.95527,0.90552,0.32225,0.33379,0.92403,0.003862,0.003862,0.003862
126,12151.9,0.37963,0.59738,0.97272,0.93121,0.92882,0.95532,0.90573,0.32212,0.33375,0.9239,0.0038125,0.0038125,0.0038125
127,12246.8,0.38307,0.59933,0.97413,0.93021,0.92986,0.9553,0.90585,0.32207,0.33404,0.92392,0.003763,0.003763,0.003763
128,12342.3,0.38009,0.59541,0.97251,0.93079,0.92984,0.95525,0.90565,0.32202,0.33376,0.92395,0.0037135,0.0037135,0.0037135
129,12439.9,0.37984,0.58036,0.97053,0.93077,0.92912,0.95535,0.9058,0.32196,0.33348,0.92394,0.003664,0.003664,0.003664
130,12535.6,0.37637,0.59915,0.97137,0.93141,0.92872,0.95548,0.90619,0.32179,0.33335,0.9238,0.0036145,0.0036145,0.0036145
131,12630.2,0.37734,0.57889,0.96893,0.93237,0.92763,0.95558,0.90615,0.32182,0.33305,0.92384,0.003565,0.003565,0.003565
132,12727.1,0.37814,0.59077,0.97241,0.93169,0.92837,0.9555,0.9061,0.32173,0.33298,0.92372,0.0035155,0.0035155,0.0035155
133,12822,0.37728,0.58383,0.96982,0.93165,0.92816,0.95559,0.90625,0.3217,0.33216,0.92374,0.003466,0.003466,0.003466
134,12916.7,0.37512,0.58093,0.96971,0.9336,0.92637,0.95564,0.90636,0.32158,0.33173,0.92368,0.0034165,0.0034165,0.0034165
135,13013.2,0.3738,0.5719,0.96954,0.93443,0.92551,0.9557,0.90608,0.32155,0.33187,0.92359,0.003367,0.003367,0.003367
136,13107.9,0.3748,0.56499,0.96833,0.93618,0.92435,0.95571,0.90607,0.32158,0.33175,0.92364,0.0033175,0.0033175,0.0033175
137,13202.7,0.37602,0.56961,0.96832,0.9352,0.92508,0.9557,0.90614,0.32148,0.33164,0.92362,0.003268,0.003268,0.003268
138,13299.4,0.37521,0.5699,0.97083,0.93612,0.92488,0.95578,0.90632,0.32147,0.33144,0.92359,0.0032185,0.0032185,0.0032185
139,13395,0.37271,0.56104,0.96894,0.93455,0.92581,0.9559,0.90643,0.32145,0.33128,0.92359,0.003169,0.003169,0.003169
140,13489.4,0.37956,0.55975,0.97396,0.93613,0.92463,0.95594,0.90664,0.32143,0.33135,0.92349,0.0031195,0.0031195,0.0031195
141,13586.1,0.37588,0.5669,0.9669,0.93547,0.92474,0.95594,0.90664,0.32145,0.3312,0.92349,0.00307,0.00307,0.00307
142,13681.2,0.37166,0.56017,0.96871,0.9356,0.92462,0.95599,0.90649,0.32152,0.33112,0.92352,0.0030205,0.0030205,0.0030205
143,13775.9,0.37162,0.56854,0.97053,0.93535,0.92462,0.95598,0.90656,0.32158,0.33107,0.92354,0.002971,0.002971,0.002971
144,13873.3,0.37166,0.55072,0.9687,0.93431,0.92492,0.95606,0.90668,0.32159,0.33082,0.92354,0.0029215,0.0029215,0.0029215
145,13968.5,0.36871,0.54289,0.96749,0.93458,0.92472,0.95604,0.90673,0.32156,0.33075,0.92353,0.002872,0.002872,0.002872
146,14063.2,0.37225,0.54782,0.97088,0.93258,0.92683,0.95608,0.90684,0.32159,0.33068,0.92356,0.0028225,0.0028225,0.0028225
147,14159.2,0.37028,0.54999,0.9667,0.93305,0.92603,0.95619,0.90699,0.32153,0.33079,0.9235,0.002773,0.002773,0.002773
148,14254.5,0.36274,0.53403,0.96239,0.93283,0.92612,0.95616,0.90717,0.32143,0.33099,0.92341,0.0027235,0.0027235,0.0027235
149,14349.3,0.36724,0.54698,0.96633,0.93366,0.9249,0.95614,0.907,0.32138,0.33092,0.92337,0.002674,0.002674,0.002674
150,14446.7,0.36965,0.54593,0.96782,0.93416,0.92392,0.95605,0.90713,0.32131,0.331,0.92329,0.0026245,0.0026245,0.0026245
151,14542.1,0.36611,0.53403,0.96705,0.93494,0.92313,0.95596,0.90709,0.32134,0.3308,0.92331,0.002575,0.002575,0.002575
152,14636.7,0.36613,0.53704,0.96551,0.93446,0.92367,0.95605,0.90728,0.32133,0.33029,0.92321,0.0025255,0.0025255,0.0025255
153,14734.4,0.364,0.53236,0.96485,0.93173,0.92584,0.95608,0.9072,0.32121,0.33014,0.92309,0.002476,0.002476,0.002476
154,14829.7,0.36352,0.52525,0.96317,0.9317,0.92586,0.9561,0.9074,0.32123,0.32993,0.92313,0.0024265,0.0024265,0.0024265
